Ref Des,Mid X(mm),Mid Y(mm),Rotation,Comment,Package,LCSC Part Number
R3,54.84,15.03,180,0.47,ESP32_WROVER_EAGLE-LTSPICE_R0402,https://componentsearchengine.com/part-view/R0402%201%25%20100%20K%20(RC0402FR-07100KL)/YAGEO
R4,66.3,15.03,0,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402,https://componentsearchengine.com/part-view/R0402%201%25%20100%20K%20(RC0402FR-07100KL)/YAGEO
R5,131.02,5.18,90,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402,https://componentsearchengine.com/part-view/R0402%201%25%20100%20K%20(RC0402FR-07100KL)/YAGEO
R6,127.14,4.88,90,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402,https://componentsearchengine.com/part-view/R0402%201%25%20100%20K%20(RC0402FR-07100KL)/YAGEO
R7,123.24,4.96,90,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402,https://componentsearchengine.com/part-view/R0402%201%25%20100%20K%20(RC0402FR-07100KL)/YAGEO
R8,119.11,4.76,90,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402,https://componentsearchengine.com/part-view/R0402%201%25%20100%20K%20(RC0402FR-07100KL)/YAGEO
R9,135.18,5.21,90,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402,https://componentsearchengine.com/part-view/R0402%201%25%20100%20K%20(RC0402FR-07100KL)/YAGEO
RESET_BUTTON,24,104.06,180,BUTTON_CUSYOMV1,MYBUTTON,https://industry.panasonic.com/global/en/products/control/switch/light-touch/number/evqpuj02k
R_BOOT,52.12,103.97,90,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402,https://componentsearchengine.com/part-view/R0402%201%25%20100%20K%20(RC0402FR-07100KL)/YAGEO
R_CAPACITOR,88.1,61.29,0,15,ESP32_WROVER_EAGLE-LTSPICE_R0402,https://componentsearchengine.com/part-view/R0402%201%25%20100%20K%20(RC0402FR-07100KL)/YAGEO
R_CHANGE,67.47,103.99,90,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402,https://componentsearchengine.com/part-view/R0402%201%25%20100%20K%20(RC0402FR-07100KL)/YAGEO
R_CL1,82.63,25.6,180,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402,https://componentsearchengine.com/part-view/R0402%201%25%20100%20K%20(RC0402FR-07100KL)/YAGEO
R_RESET,28.14,103.99,270,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402,https://componentsearchengine.com/part-view/R0402%201%25%20100%20K%20(RC0402FR-07100KL)/YAGEO
SENSOR2,154.57,8.17,90,BME688,ESP32_WROVER_BME680_PSON80P300X300X100-8N,
SJ1,53.52,10.04,0,,SJ,https://grabcad.com/library/solder-jumpers-1
TP1,13.49,68.81,0,TPTP20R,TP20R,
TP10,27.97,42.11,0,TPTP20R,TP20R,
TP11,97.22,3.61,0,TPTP20R,TP20R,
TP12,102.42,3.51,0,TPTP20R,TP20R,
TP13,32.72,64.81,0,TPTP20R,TP20R,
TP14,112.87,46.06,0,TPTP20R,TP20R,
TP15,97.72,57.51,0,TPTP20R,TP20R,
TP16,157.42,14.61,0,TPTP20R,TP20R,
TP17,96.37,15.76,0,TPTP20R,TP20R,
TP2,16.59,68.99,0,TPTP20R,TP20R,
TP3,133.96,45.09,0,TPTP20R,TP20R,
TP4,16.83,103.04,0,TPTP20R,TP20R,
TP5,74.75,103.34,0,TPTP20R,TP20R,
TP6,2.37,90.94,0,TPTP20R,TP20R,
TP7,123.04,0.24,0,TPTP20R,TP20R,
TP8,127.06,0.27,0,TPTP20R,TP20R,
TP9,10.03,68.89,0,TPTP20R,TP20R,
U1,37.14,54.21,0,W25Q512JVEIQ,SON127P600X800X80-9N,https://www.snapeda.com/parts/W25Q512JVEIQ/Winbond+Electronics/view-part/?ref=eda
U2,16.14,53.54,90,ESP32-C6-WROOM-1-N8,XCVR_ESP32-C6-WROOM-1-N8,https://www.snapeda.com/parts/ESP32-C6-WROOM-1-N8/Espressif+Systems/view-part/?ref=eda
U3,83.8,53.65,270,DS3231SN#,SOIC127P1032X265-16N,https://www.snapeda.com/parts/DS3231SN%23/Analog+Devices/view-part/?ref=eda
U4,136.79,48.97,0,MAX17048G+T10,SON50P200X200X80-9N,https://www.snapeda.com/parts/MAX17048G+T10/Analog+Devices/view-part/?ref=eda
